slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
yolohayoga-infinite-transformation-nomad-cork-yoga-mat,"Infinite Transformation Nomad Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,7675357987028
yolohayoga-earth-rest-nomad-cork-yoga-mat,"Earth Rest Nomad Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,7114268999868
yolohayoga-pond-of-harmony-unity-pro-cork-yoga-mat,"Pond of Harmony Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8665477480660
yolohayoga-harmony-original-cork-yoga-mat-plant-foam,"Harmony Original Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip; Premium",,7950124024020
yolohayoga-harmony-unity-pro-cork-yoga-mat,"Harmony Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8667228733652
yolohayoga-flight-home-unity-pro-cork-yoga-mat,"Flight Home Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8667233026260
yolohayoga-balance-and-unity-pro-cork-yoga-mat,"Balance and Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8665410601172
yolohayoga-el-dorado-aura-cork-yoga-mat,"El Dorado Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,8532710621396
yolohayoga-infinite-transformation-unity-pro-cork-yoga-mat,"Infinite Transformation Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8665481806036
yolohayoga-el-dorado-unity-pro-cork-yoga-mat,"El Dorado Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8667234533588
yolohayoga-tiger-lotus-aura-cork-yoga-mat,"Tiger Lotus Aura Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Cork,"Eco-Friendly; Extra Thick; Non-Slip",,8857685295316
yolohayoga-tiger-lotus-unity-pro-cork-yoga-mat,"Tiger Lotus Unity Pro Cork Yoga Mat",yolohayoga,,,182.88,66.04,,Natural Rubber,"Eco-Friendly; Non-Slip",,8857701122260
yolohayoga-pond-of-harmony-nomad-xl-cork-yoga-mat,"Pond of Harmony Nomad XL Cork Yoga Mat",yolohayoga,,,203.2,121.92,2.041168092460379,Cork,"Eco-Friendly; Non-Slip; Lightweight; Premium",,8812484002004
